Game Title,Game Discount,Game Price,Game Link
Cyberpunk 2077,-65.0%,"R$199,90
R$69,96",https://store.steampowered.com/app/1091500/Cyberpunk_2077/?snr=1_4_4__tab-Specials
Rust,-50.0%,"R$119,99
R$59,99",https://store.steampowered.com/app/252490/Rust/?snr=1_4_4__tab-Specials
Diablo® IV: Vessel of Hatred™ - Pacote de Expansão,-50.0%,"R$319,90
R$159,95",https://store.steampowered.com/sub/1142789/?snr=1_4_4__tab-Specials
Stardew Valley,-30.0%,"R$24,99
R$17,49",https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_4_4__tab-Specials
The Witcher 3: Wild Hunt - Complete Edition,-80.0%,"R$159,99
R$31,99",https://store.steampowered.com/sub/124923/?snr=1_4_4__tab-Specials
Need for Speed™ Heat,-93.0%,"R$279,00
R$19,53",https://store.steampowered.com/app/1222680/Need_for_Speed_Heat/?snr=1_4_4__tab-Specials
Call of Duty®: Black Ops 6,-45.0%,"R$339,00
R$186,45",https://store.steampowered.com/app/2933620/Call_of_Duty_Black_Ops_6/?snr=1_4_4__tab-Specials
Diablo® IV,-55.0%,"R$229,90
R$103,45",https://store.steampowered.com/app/2344520/Diablo_IV/?snr=1_4_4__tab-Specials
It Takes Two,-70.0%,"R$199,00
R$59,70",https://store.steampowered.com/app/1426210/It_Takes_Two/?snr=1_4_4__tab-Specials
Battlefield™ 1,-90.0%,"R$199,00
R$19,90",https://store.steampowered.com/app/1238840/Battlefield_1/?snr=1_4_4__tab-Specials

